Bug ID,Module,Title,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Reporter,Status,Date Found
BUG-011,Kelas (Tambah/Edit & List),Nama Kelas tanpa batas panjang (no maxlength) + sel tabel tidak truncate → layout list jebol (overflow horizontal),"1. Login sebagai admin
2. Buka menu Kelas (Pengaturan → Akademik → Kelas)
3. Klik Tambah/Edit Kelas, isi nama sangat panjang (cth: 250+ karakter ""AAAA..."")
4. Klik Simpan (tersimpan)
5. Amati tampilan list","(A) Field Kelas punya batas maxlength yang wajar (cth ≤ 50–100 karakter) & menolak input berlebih.
(B) Pada list, sel kolom Kelas nge-truncate (ellipsis) atau wrap, sehingga layout tabel tetap rapi dan tombol aksi tetap terjangkau.","Input MENERIMA nama 250 karakter tanpa batas/penolakan (data tersimpan). Di list, teks panjang OVERFLOW horizontal — menembus kolom ""Dibuat Pada"", menutupi tombol Edit & Hapus, dan melebarkan baris keluar dari area tabel. Layout tabel jebol. Tidak ada maxlength di input maupun truncation/ellipsis di sel tabel.",Low,P11,Fajar Ardiansyah,Open,14 Juni 2026
BUG-012,Jurusan (Tambah),Duplikat Jurusan (nama + instansi sama) BERHASIL tersimpan — tidak ada uniqueness constraint di backend & frontend silent (melanggar PRD),"1. Login sebagai admin
2. Buka menu Jurusan (Pengaturan → Akademik → Jurusan)
3. Klik 'Tambah Jurusan', pilih Instansi, isi nama Jurusan (cth: 'RPL') → Simpan (sukses, 1 row)
4. Klik 'Tambah Jurusan' lagi, pilih Instansi yang SAMA, isi nama yang PERSIS SAMA ('RPL')
5. Klik Simpan
6. Monitor UI, list, & response Network (XHR)","Sesuai PRD ('Ketika terdapat nama jurusan dengan instansi yang sama, sistem menampilkan pesan error'): muncul toast/inline error & data TIDAK dobel (tetap 1 row).","Data duplikat BERHASIL tersimpan → muncul 2 baris identik (nama + instansi sama). Tidak ada uniqueness constraint di backend dan frontend tidak menampilkan error apapun; modal menutup seolah sukses. BERBEDA dari BUG-007/008 (Tingkat/Kelas) yang backend-nya masih memproteksi (data tidak tersimpan) — di Jurusan proteksi backend TIDAK ADA sehingga data benar-benar dobel. Berisiko ambiguitas data untuk fitur downstream (jadwal, tugas, presensi, grup rapor, status PPDB, data diri siswa). Ditemukan via Cypress TC-JRS-ADD-010.",High,P12,Fajar Ardiansyah,Open,14 Juni 2026
BUG-013,Jurusan (Tambah),Nama Jurusan tanpa maxlength/validasi panjang — input >255 char ditolak backend via RAW SQL error & frontend silent (no feedback + info leak),"1. Login sebagai admin
2. Buka menu Jurusan (Pengaturan → Akademik → Jurusan)
3. Klik 'Tambah Jurusan', pilih Instansi
4. Isi nama Jurusan >255 karakter (cth: ~300 char)
5. Klik Simpan
6. Monitor UI & response Network (XHR)","FE membatasi/validasi maksimal 255 karakter (maxlength atau validasi inline) & menampilkan pesan ramah (cth: 'Jurusan maksimal 255 karakter'). Backend mengembalikan pesan validasi yang aman, bukan raw SQL error.","Tidak ada maxlength di field → input >255 char diteruskan ke backend. Backend menolak (data tidak tersimpan) TAPI mengembalikan RAW Postgres error: { status: false, message: 'ERROR: value too long for type character varying(255) (SQLSTATE 22001)', data: null }. Frontend SILENT — tidak ada toast/error apapun, user tidak dapat feedback. Selain UX buruk (pola sama BUG-003/006/007/008/010), raw SQL error membocorkan tipe & batas kolom DB + SQLSTATE ke client (info leak). Data tidak corrupt (tidak tersimpan). Ditemukan via Cypress TC-JRS-ADD-013.",Medium,P13,Fajar Ardiansyah,Open,14 Juni 2026
BUG-014,Jurusan (List),Filter kombinasi Instansi + Status mengembalikan 0 data padahal data ada (BUG-009 ter-reproduce di Jurusan),"1. Login sebagai admin
2. Buka menu Jurusan
3. Filter Instansi = SDIT
4. Filter Status = Aktif
5. Amati list",Tampil jurusan yang ber-Instansi SDIT DAN status Aktif (datanya ADA).,List kosong / empty state padahal ada jurusan SDIT berstatus Aktif. Filter TUNGGAL (Instansi saja / Status saja) bekerja normal; hanya KOMBINASI keduanya yang balik 0. Pola sama persis BUG-009 (Kelas).,High,P14,Fajar Ardiansyah,Open,15 Juni 2026
BUG-015,Kamar (Tambah),Nama Kamar tanpa maxlength/validasi panjang — input >255 char ditolak backend via RAW SQL error & frontend silent (no feedback + info leak),"1. Login sebagai admin
2. Buka menu Kamar (Pengaturan → Akademik → Kamar) di /setting/academic/room
3. Klik 'Tambah Kamar', pilih Instansi
4. Isi nama Kamar >255 karakter (cth: ~300 char)
5. Klik Simpan
6. Monitor UI & response Network (XHR)","FE membatasi/validasi maksimal 255 karakter (maxlength atau validasi inline) & menampilkan pesan ramah (cth: 'Kamar maksimal 255 karakter'). Backend mengembalikan pesan validasi yang aman, bukan raw SQL error.","Tidak ada maxlength di field → input >255 char diteruskan ke backend. Backend menolak (data tidak tersimpan) TAPI mengembalikan RAW Postgres error: { status: false, message: 'ERROR: value too long for type character varying(255) (SQLSTATE 22001)', data: null }. Frontend SILENT — tidak ada toast sukses MAUPUN error, user tidak dapat feedback apapun, modal tetap terbuka. Selain UX buruk (pola sama BUG-003/006/007/008/010/013), raw SQL error membocorkan tipe & batas kolom DB + SQLSTATE ke client (info leak). Data tidak corrupt (tidak tersimpan). Ditemukan via Cypress TC-KMR-ADD-016.",Medium,P15,Fajar Ardiansyah,Open,18 Juni 2026
BUG-016,Kamar (List / Filter),"Filter Status (Aktif/Tidak Aktif), tunggal maupun kombinasi dengan Instansi, menampilkan empty state padahal data ada","1. Login sebagai admin
2. Buka menu Kamar (Pengaturan -> Akademik -> Kamar) di /setting/academic/room
3. Pastikan ada kamar (mis. instansi SDIT berstatus Aktif) tampil normal tanpa filter
4. Set filter Status = Aktif -> amati list
5. Set filter Status = Tidak Aktif -> amati list
6. Set filter Instansi = SDIT lalu tambah Status = Aktif (kombinasi) -> amati list
7. Reset filter ke Semua -> amati list
8. Monitor Network (XHR): parameter request & response body","List menampilkan kamar sesuai filter Status yang dipilih (Aktif menampilkan kamar Aktif, Tidak Aktif menampilkan kamar Tidak Aktif), termasuk saat dikombinasikan dengan filter Instansi.","Begitu filter Status diaktifkan, list langsung menampilkan empty state 'Data Kamar tidak ditemukan' padahal data jelas ada. Terjadi pada Status=Aktif, Status=Tidak Aktif, MAUPUN kombinasi Instansi+Status (URL mengirim parameter spt ?status=ACTIVE / ?status=INACTIVE dan ?office=...&status=ACTIVE). Data tidak hilang (muncul kembali begitu filter di-reset ke Semua), jadi ini bug query/handling filter status, bukan data corrupt. Pola sama BUG-009 (Kelas) & BUG-014 (Jurusan), NAMUN di Kamar lebih luas: filter Status TUNGGAL pun balik kosong, bukan hanya kombinasi. Ditemukan via Cypress TC-KMR-LST-006 (Aktif), TC-KMR-LST-008 (Tidak Aktif) & TC-KMR-LST-009 (kombinasi) + dikonfirmasi manual.",Medium,P16,Fajar Ardiansyah,Open,18 Juni 2026
BUG-017,Kamar (List / Search),Search/cari by PIC mengembalikan empty state padahal kamar dengan PIC tersebut ada,"1. Login sebagai admin
2. Buka menu Kamar (Pengaturan -> Akademik -> Kamar) di /setting/academic/room
3. Pastikan ada kamar yang sudah punya PIC (kolom PIC terisi nama guru/staff)
4. Klik field 'Cari'
5. Ketik nama PIC yang persis tampil di kolom PIC
6. Tunggu hasil search & monitor Network (XHR): parameter request & response body",Sesuai PRD (search by Instansi/Nama Kamar/PIC): list ter-filter menampilkan kamar yang PIC-nya cocok dengan keyword.,"Begitu keyword PIC diketik, list langsung menampilkan empty state 'Data Kamar tidak ditemukan' padahal kamar dengan PIC tersebut jelas ada (muncul normal saat search di-clear). Search by Nama Kamar bekerja normal; hanya pencarian by PIC yang balik kosong. Indikasi kolom PIC tidak ikut diikutkan dalam query pencarian di endpoint list. Pola sama BUG-001 (Mapel: search by Instansi balik empty). Dikonfirmasi manual + ditemukan via Cypress TC-KMR-LST-012.",Medium,P17,Fajar Ardiansyah,Open,18 Juni 2026
BUG-018,Kamar (List / Search),Search/cari by Instansi mengembalikan empty state padahal kamar instansi tersebut ada,"1. Login sebagai admin
2. Buka menu Kamar (Pengaturan -> Akademik -> Kamar) di /setting/academic/room
3. Pastikan ada kamar di sebuah instansi (mis. SDIT) tampil normal tanpa search
4. Klik field 'Cari'
5. Ketik nama instansi (mis. 'SDIT')
6. Tunggu hasil search & monitor Network (XHR): parameter request & response body",Sesuai PRD (search by Instansi/Nama Kamar/PIC): list ter-filter menampilkan kamar yang Instansi-nya cocok dengan keyword.,"Begitu keyword Instansi diketik, list langsung menampilkan empty state 'Data Kamar tidak ditemukan' padahal kamar instansi tersebut jelas ada (muncul normal saat search di-clear). Search by Nama Kamar bekerja normal; hanya pencarian by Instansi yang balik kosong. Pola sama persis BUG-001 (Mapel: search by Instansi balik empty) dan sejalan dengan BUG-017 (Kamar: search by PIC juga kosong) -> indikasi kolom Instansi & PIC tidak diikutkan dalam query pencarian endpoint list, hanya kolom Nama. Dikonfirmasi manual + ditemukan via Cypress TC-KMR-LST-011.",Medium,P18,Fajar Ardiansyah,Open,18 Juni 2026
BUG-019,Kamar (Edit),"Edit nama kamar jadi duplikat (instansi sama) — FE silent, backend error tidak ditampilkan","1. Login sebagai admin
2. Buka menu Kamar di /setting/academic/room
3. Pastikan ada 2 kamar di instansi yang sama (mis. SDIT), sebut Kamar A dan Kamar B
4. Klik Edit pada Kamar B
5. Ubah nama Kamar B menjadi nama yang sama dengan Kamar A
6. Klik Simpan
7. Monitor UI & response Network (XHR)","Muncul toast/inline error berisi pesan dari API: 'Nama kamar sudah ada di instansi ini', sehingga user paham kenapa perubahan tidak tersimpan.","API mengembalikan error dengan benar (response body: {""status"": false, ""message"": ""Nama kamar sudah ada di instansi ini"", ""data"": null}) dan perubahan MEMANG tidak tersimpan (proteksi backend bekerja). TAPI frontend SILENT — tidak ada toast/notifikasi apapun, modal tetap terbuka tanpa indikasi. User mengira tombol Simpan tidak berfungsi. Akar masalah sama dengan BUG-008 (Kelas Tambah) & BUG-010 (Kelas Edit): frontend tidak menangkap & menampilkan message dari response error API. Ditemukan via Cypress TC-KMR-EDT-014 + dikonfirmasi manual (element analysis).",Medium,P19,Fajar Ardiansyah,Open,19 Juni 2026
BUG-020,Tag (Tambah),"Tambah Tag dengan kode duplikat (instansi sama) — FE silent, backend error tidak ditampilkan","1. Login sebagai admin
2. Buka menu Tag (Pengaturan -> Akademik -> Tag) di /setting/academic/tag
3. Klik 'Tambah Tag', pilih Instansi, isi Nama Tag, isi Kode Tag yang SUDAH ADA di instansi yang sama, pilih Tipe Anggota
4. Klik Simpan
5. Monitor UI & response Network (XHR)","Muncul toast/inline error berisi pesan dari API: 'Kode tag sudah digunakan di instansi ini', sehingga user paham kenapa data tidak tersimpan.","API mengembalikan error dengan benar (response body: {""status"": false, ""message"": ""Kode tag sudah digunakan di instansi ini"", ""data"": null}) dan data MEMANG tidak tersimpan (proteksi backend bekerja). TAPI frontend SILENT — tidak ada toast/notifikasi apapun, modal tetap terbuka tanpa indikasi. User mengira tombol Simpan tidak berfungsi. Akar masalah sama dengan BUG-003, BUG-006, BUG-007, BUG-008, BUG-010 & BUG-019: frontend tidak menangkap & menampilkan message dari response error API. Ini kemunculan pola yang sama pada modul Tambah Tag (proteksi BE berjalan, FE diam).",Medium,P20,Fajar Ardiansyah,Open,20 Juni 2026
BUG-021,Tag (Tambah/Edit/Hapus),"Toast sukses Tag (Tambah, Edit, & Hapus) menampilkan description salah modul: 'Silahkan lanjutkan dengan menambahkan data Kelas pada menu' (harusnya Tag/data terkait Tag, bukan Kelas)","1. Login sebagai admin
2. Buka menu Tag (Pengaturan -> Akademik -> Tag) di /setting/academic/tag
3. Skenario A (Tambah): klik 'Tambah Tag', isi seluruh field valid, klik Simpan
4. Skenario B (Edit): klik ikon Edit pada baris tag, ubah salah satu field, klik Simpan
5. Skenario C (Hapus): klik ikon Hapus pada baris tag, klik 'Hapus' di popup
6. Pada ketiga skenario, amati toast sukses yang muncul di pojok kanan bawah (Sonner)","Toast description nyebut konteks Tag (cth: 'Silahkan lanjutkan menggunakan tag pada data siswa/presensi/tagihan'), bukan modul lain.","Toast description berbunyi 'Silahkan lanjutkan dengan menambahkan data Kelas pada menu' — menyebut modul Kelas, padahal user baru menambah/mengedit/menghapus Tag. Title-nya benar ('Tag berhasil ditambahkan' / 'Tag berhasil diperbarui' / 'Tag berhasil dihapus'), hanya description-nya yang salah copy/template (kemungkinan hasil copy-paste dari modul Kelas tanpa di-update; description shared template di seluruh action Tag). UX membingungkan & terkesan tidak rapi. Pola serupa (typo/copy salah pada description toast modul lain) sebaiknya audit menyeluruh. Reproduce di Tambah Tag (TC-TAG-ADD-*), Edit Tag (TC-TAG-EDT-*), & Hapus Tag (TC-TAG-HPS-*).",Low,P21,Fajar Ardiansyah,Open,20 Juni 2026
BUG-022,Tag (Tambah/Edit),Nama Tag & Kode Tag tanpa maxlength/validasi panjang — input >255 char ditolak backend via RAW SQL error & frontend silent (no feedback + info leak),"1. Login sebagai admin
2. Buka menu Tag (Pengaturan -> Akademik -> Tag) di /setting/academic/tag
3. Skenario A (Tambah): klik 'Tambah Tag', pilih Instansi & Tipe Anggota
4. Skenario B (Edit): klik ikon Edit pada baris tag yang ada
5. Pada kedua skenario, isi Nama Tag ATAU Kode Tag >255 karakter (cth: ~300 char)
6. Klik Simpan
7. Monitor UI & response Network (XHR)","FE membatasi/validasi maksimal 255 karakter (maxlength atau validasi inline) pada Nama Tag & Kode Tag, & menampilkan pesan ramah (cth: 'Nama Tag maksimal 255 karakter'). Backend mengembalikan pesan validasi yang aman, bukan raw SQL error.","Tidak ada maxlength di field Nama Tag maupun Kode Tag (Tambah & Edit, kemungkinan form component shared) -> input >255 char diteruskan ke backend. Backend menolak (data tidak tersimpan) TAPI mengembalikan RAW Postgres error: { status: false, message: 'ERROR: value too long for type character varying(255) (SQLSTATE 22001)', data: null }. Frontend SILENT — tidak ada toast sukses MAUPUN error, user tidak dapat feedback apapun, modal tetap terbuka. Selain UX buruk (pola sama BUG-003/006/007/008/010/013/015/019/020), raw SQL error membocorkan tipe & batas kolom DB + SQLSTATE ke client (info leak). Data tidak corrupt (tidak tersimpan). Pola identik BUG-013 (Jurusan) & BUG-015 (Kamar). Ditemukan via Cypress TC-TAG-ADD-019/020 (Nama/Kode di Tambah) & TC-TAG-EDT-018/019 (Nama/Kode di Edit).",Medium,P22,Fajar Ardiansyah,Open,20 Juni 2026
BUG-023,Tag (List / Filter),Filter Status dikombinasi dgn filter lain (Instansi/Tipe Member) mengembalikan 0 hasil padahal data ada (pola BUG-009/014 ter-reproduce di Tag),"1. Login sebagai admin
2. Buka menu Tag (Pengaturan -> Akademik -> Tag) di /setting/academic/tag
3. Pastikan ada tag di Instansi SDIT berstatus Aktif (default Tambah = Aktif)
4. Set filter Instansi = SDIT -> list menampilkan data normal
5. Tambah filter Status = Aktif (kombinasi)
6. Amati list & Network (XHR): parameter request & response body
7. Ulangi dgn kombinasi 3: Instansi + Status + Tipe Member","List menampilkan tag yang cocok kombinasi filter (mis. SDIT + Aktif), termasuk pada kombinasi 3 (Instansi + Status + Tipe Member).","List balik kosong 'Data Tag tidak ditemukan' begitu Status digabung dengan filter lain (Instansi atau Tipe Member). Filter TUNGGAL bekerja normal: Status=Aktif sendirian menampilkan data, Instansi sendirian menampilkan data, Tipe sendirian menampilkan data, Instansi+Tipe (tanpa Status) juga normal -- hanya KOMBINASI Status + filter lain yang balik 0. Pola sama persis BUG-009 (Kelas) & BUG-014 (Jurusan) -- kemungkinan bug query kombinasi office+status (atau status+type) di endpoint list. BERBEDA dari BUG-016 (Kamar) yang Status TUNGGAL pun balik kosong; di Tag, Status tunggal masih jalan. Ditemukan via Cypress TC-TAG-LST-013 (Instansi+Status) & TC-TAG-LST-015 (Instansi+Status+Tipe) + dikonfirmasi manual.",Medium,P23,Fajar Ardiansyah,Open,21 Juni 2026
BUG-024,Tag (Edit),"Edit Kode Tag jadi duplikat (instansi sama) — FE silent, backend error tidak ditampilkan","1. Login sebagai admin
2. Buka menu Tag (Pengaturan -> Akademik -> Tag) di /setting/academic/tag
3. Pastikan ada 2 tag di instansi yang sama (mis. SDIT): Tag A & Tag B
4. Klik ikon Edit pada Tag B
5. Ubah Kode Tag B menjadi kode yang persis sama dengan Tag A
6. Klik Simpan
7. Monitor UI & response Network (XHR)","Muncul toast/inline error berisi pesan dari API: 'Kode tag sudah digunakan di instansi ini', sehingga user paham kenapa perubahan tidak tersimpan.","API mengembalikan error dengan benar (response body: {""status"": false, ""message"": ""Kode tag sudah digunakan di instansi ini"", ""data"": null}) dan perubahan MEMANG tidak tersimpan (proteksi backend bekerja). TAPI frontend SILENT — tidak ada toast/notifikasi apapun, modal tetap terbuka tanpa indikasi. User mengira tombol Simpan tidak berfungsi. Akar masalah sama dengan BUG-019 (Kamar Edit) & BUG-020 (Tag Tambah): frontend tidak menangkap & menampilkan message dari response error API. Ini kemunculan pola yang sama pada modul Edit Tag (proteksi BE berjalan, FE diam). Discovered via element analysis Edit Tag (response body dikonfirmasi user); akan di-cover via Cypress TC-TAG-EDT-017.",Medium,P24,Fajar Ardiansyah,Open,21 Juni 2026
BUG-025,Onboarding Registrasi,Field Nomor HP menerima input non-numeric (huruf & simbol),"1. Buka https://staging.cards.co.id/daftar-akun
2. Klik field 'Nomor HP'
3. Ketik string mix: ""081abc-2345!@""
4. Inspect value field via DevTools atau perhatikan tampilan input
5. Cek Network (XHR) saat submit — payload phoneNumber bisa terkirim non-numeric",Field Nomor HP hanya menerima karakter angka 0-9. Karakter huruf dan simbol otomatis di-filter / tidak bisa diketik. (Per PRD: 'Hanya menerima input angka (Numerik 0-9). Karakter huruf atau simbol otomatis ditolak/tidak bisa diketik'),"Field menerima semua karakter apa adanya — huruf, simbol, dan angka semua masuk ke value. Value field setelah ketik = ""081abc-2345!@"" (tidak ter-filter). Validasi format baru muncul sebagai pesan error 'Nomor HP tidak valid (10–13 digit angka)' setelah blur, tapi input itself tidak di-restrict.",Medium,Medium,Fajar Ardiansyah,Open,22 Juni 2026
